user;message;in_msg_id
255425921;кайфы;208
381832378;они у меня на рабочем столе все лежали;207
381832378;я сёдня все варики по русскому, которые она в пдф кидала удалил;206
255425921;;205
381832378;я проебал сенину;204
381832378;бля;203
381832378;это на завтра?;202
255425921;сенина 228 вариант;201
255425921;;200
381832378;какой варик по русскому на завтра?;199
381832378;привет;198
381832378;;197
255425921;;196
381832378;Можешь мне пж завтра на пробник ручку дать чёрную?;195
381832378;спс;194
255425921;;193
381832378;ты решил ту задачу?;192
381832378;спс;191
255425921;чёт в ватсапе там;190
381832378;что по физике задали?;189
381832378;;188
255425921;Сорян, вчера чет забыл скинуть;187
255425921;;186
381832378;спс;185
255425921;ок;184
381832378;скинь пж, если сделаешь;183
255425921;18 тоже на всякий сделаю;182
255425921;ну может быть так;181
381832378;просто аюк говорит что 17 и 18 надо;180
381832378;спс;179
381832378;ок;178
255425921;17 наверное на завтра;177
255425921;у меня последний 16 сделан;176
255425921;нет;175
381832378;ты делал?;174
255425921;;173
381832378;какой варик сениной на завтра задали?;172
381832378;имба;171
255425921;;170
381832378;;169
255425921;https://www.youtube.com/watch?v=lVD0qNFBeuY;168
381832378;спс;167
255425921;да;166
381832378;из демидовой 24 года же?;165
381832378;спс;164
255425921;29 варик надо;163
255425921;ща;162
255425921;а;161
255425921;вроде сказала с конца начинать;160
255425921;хз;159
381832378;какой варик по физике задали?;157
381832378;спс;156
381832378;а;155
255425921;сложные слова;154
255425921;матвей вроде ещё 9-12 задания выписал;153
381832378;там же только по 7 заданию надо?;152
255425921;да;151
381832378;а будешь делать?;150
255425921;нет;149
381832378;ты сделал русский?;148
381832378;спс;147
255425921;вроде да;146
381832378;полностью?;145
255425921;+ учить формулы по электромагнетизму;144
255425921;вариант 15 из сборника вроде;143
381832378;чё по физике задали?;142
381832378;мне аюк скинул;141
255425921;;140
381832378;всё не надо;139
255425921;ща;138
255425921;это не тот;137
255425921;а стой;136
381832378;спс;135
255425921;;134
381832378;скинь пж;133
255425921;а;132
255425921;у меня пдф есть сборник;131
381832378;6;130
255425921;че за варик;129
381832378;у тебя есть варик по алгебре?;128
255425921;обычно вроде алгебра;127
255425921;а я хз;126
381832378;завтра геометрия или алгебра?;125
381832378;он сказал, если я пойду в шапочке, то он пойдёт в рубашке;124
381832378;да;123
255425921;в рубашке стесняется идти;122
255425921;звонил мне;121
255425921;да;120
381832378;аюк завтра идёт кстати;119
381832378;хз;118
255425921;а что задали?;117
255425921;нет;116
381832378;ты делал геометрию?;115
381832378;блин;114
255425921;не записывал;113
255425921;а я хз;112
381832378;что по геометрии задали?;111
255425921;;110
381832378;;109
255425921;не буду делать;108
255425921;а я хз;107
381832378;какую карточку нужно делать по алгебре?;106
381832378;спс;105
255425921;;104
255425921;;103
381832378;Привет, что задали по алгебре?;102
381832378;вроде да;101
381832378;хз;100
255425921;?;99
255425921;а на завтра это писать надо;98
255425921;ничё не писал;97
255425921;а я хз;96
255425921;;95
